iter	RMSE
0	20583.44527
1	18693.46145
2	17001.65155
3	15509.37694
4	14173.29521
5	12987.76054
6	11936.88305
7	11013.87744
8	10201.47935
9	9488.446656
10	8868.075891
11	8328.652474
12	7862.973052
13	7455.375817
14	7099.315421
15	6790.332551
16	6519.638987
17	6292.320463
18	6100.659759
19	5922.775862
20	5783.480245
21	5665.476438
22	5562.771744
23	5467.702302
24	5387.330462
25	5322.949915
26	5265.447671
27	5214.545308
28	5173.398018
29	5135.229492
30	5102.197985
31	5071.037255
32	5039.1836
33	5006.503088
34	4979.190947
35	4957.867694
36	4939.794351
37	4923.591928
38	4906.680868
39	4891.936694
40	4868.056802
41	4856.245712
42	4846.160918
43	4830.73046
44	4820.737599
45	4808.857147
46	4797.759894
47	4788.843501
48	4771.275821
49	4765.012942
50	4755.807942
51	4735.981745
52	4728.681855
53	4720.315153
54	4710.662955
55	4697.963934
56	4688.775141
57	4683.677748
58	4677.625511
59	4674.067532
60	4668.580704
61	4662.35051
62	4658.628237
63	4654.795093
64	4647.952036
65	4643.62046
66	4636.280996
67	4632.838638
68	4630.040997
69	4623.19968
70	4617.248337
71	4610.792683
72	4608.46832
73	4597.431603
74	4590.013995
75	4587.733663
76	4581.284011
77	4576.152499
78	4569.613898
79	4564.202096
80	4557.925024
81	4551.295996
82	4547.878185
83	4542.276536
84	4536.927454
85	4534.471466
86	4531.256036
87	4527.69909
88	4519.670378
89	4517.255911
90	4514.085562
91	4506.239617
92	4504.325592
93	4500.499983
94	4493.672174
95	4491.316226
96	4486.630907
97	4484.76365
98	4481.310997
99	4476.936449
100	4471.212222
101	4466.912491
102	4462.97235
103	4461.571741
104	4460.110924
105	4457.853549
106	4448.036628
107	4438.67164
108	4435.214194
109	4429.168284
110	4425.010737
111	4420.283355
112	4415.285035
113	4413.858692
114	4410.827654
115	4408.508644
116	4407.510348
117	4400.31151
118	4397.694205
119	4390.247457
120	4383.751255
121	4382.83708
122	4376.661945
123	4373.046174
124	4370.642364
125	4363.869147
126	4362.596359
127	4361.331415
128	4357.681963
129	4352.755056
130	4349.626592
131	4344.752782
132	4342.297242
133	4340.36506
134	4338.021259
135	4336.064654
136	4334.0215
137	4332.400523
138	4331.049216
139	4328.431113
140	4326.366832
141	4322.620592
142	4320.986862
143	4317.618171
144	4316.271704
145	4312.248982
146	4310.292875
147	4309.514701
148	4307.131296
149	4306.237107
150	4302.346588
151	4300.512081
152	4299.053872
153	4293.124998
154	4292.36256
155	4291.314005
156	4289.918352
157	4286.624519
158	4283.495
159	4282.86377
160	4282.238161
161	4280.266969
162	4278.701081
163	4277.970441
164	4270.923758
165	4269.682581
166	4267.555214
167	4266.632312
168	4265.284231
169	4263.64162
170	4261.056085
171	4258.637478
172	4253.872278
173	4250.969889
174	4249.608247
175	4248.308088
176	4246.563693
177	4245.555123
178	4244.167219
179	4242.0415
180	4238.316341
181	4233.033739
182	4230.298756
183	4229.450454
184	4228.200095
185	4227.231196
186	4224.151237
187	4222.507719
188	4221.963508
189	4221.198146
190	4219.477312
191	4216.844924
192	4215.485537
193	4214.899161
194	4209.834161
195	4204.679594
196	4202.311912
197	4201.62359
198	4200.036021
199	4196.173864
200	4195.285592
201	4189.945543
202	4188.746159
203	4186.699223
204	4183.470911
205	4181.039281
206	4179.854891
207	4177.800005
208	4177.192447
209	4176.584915
210	4175.338405
211	4173.182953
212	4172.250442
213	4171.088339
214	4166.966437
215	4166.253683
216	4163.908187
217	4162.307393
218	4158.096616
219	4156.275329
220	4154.473603
221	4154.069804
222	4152.509525
223	4151.35339
224	4150.604924
225	4149.204053
226	4144.952719
227	4143.861309
228	4141.789252
229	4139.682559
230	4139.249111
231	4138.481141
232	4137.964482
233	4133.70995
234	4131.8835
235	4130.401543
236	4129.075059
237	4127.94131
238	4125.227099
239	4124.172441
240	4123.268802
241	4120.523834
242	4118.790975
243	4116.705425
244	4115.454647
245	4113.711863
